date,amount,category,type,description
2024-02-15,419.8,entertainment,expense,movie
2023-01-15,166.43,health,expense,gym
2024-03-07,72.62,entertainment,expense,movie
2024-05-23,164.64,food,expense,cafe
2023-01-01,120.42,other,expense,miscellaneous
2023-02-17,2380.93,gift,income,wedding gift
2023-10-29,278.8,shopping,expense,electronics
2024-04-06,1693.72,investment,income,crypto gain
2024-04-04,48.04,entertainment,expense,subscription
2023-12-26,389.72,health,expense,gym
2023-08-07,423.62,transport,expense,taxi
2023-07-13,192.28,bills,expense,electricity
2023-12-16,471.28,food,expense,groceries
2023-04-25,118.6,shopping,expense,online shopping
2023-07-01,469.52,transport,expense,taxi
2024-05-24,4311.88,gift,income,wedding gift
2023-03-31,3886.63,salary,income,bonus
2023-05-22,4994.77,salary,income,bonus
2023-03-21,3358.51,gift,income,birthday gift
2023-02-20,478.48,shopping,expense,online shopping
2023-04-13,3740.25,salary,income,bonus
2023-01-21,171.72,entertainment,expense,games
2023-09-20,3782.25,other,income,miscellaneous
2024-05-07,453.82,food,expense,snacks
2023-10-07,3664.88,gift,income,wedding gift
2024-02-15,389.33,food,expense,snacks
2024-05-08,151.42,health,expense,pharmacy
2024-02-29,4768.76,salary,income,monthly salary
2023-06-05,345.62,entertainment,expense,subscription
2024-05-26,149.87,shopping,expense,clothes
2023-04-19,294.05,bills,expense,internet
2023-01-01,4835.03,gift,income,birthday gift
2023-05-22,27.93,health,expense,gym
2023-07-13,2208.76,gift,income,birthday gift
2024-02-17,3311.51,salary,income,monthly salary
2024-02-13,384.47,bills,expense,internet
2023-02-15,263.41,shopping,expense,clothes
2024-02-24,324.43,transport,expense,train
2023-03-20,235.58,transport,expense,taxi
2023-02-27,395.75,transport,expense,fuel
2024-02-05,429.69,entertainment,expense,movie
2023-10-01,348.31,transport,expense,bus
2023-07-28,368.9,health,expense,doctor
2023-01-30,238.78,bills,expense,water
2023-06-03,2181.43,salary,income,bonus
2023-09-27,416.68,health,expense,doctor
2023-01-02,472.23,shopping,expense,clothes
2023-03-18,175.71,transport,expense,train
2024-04-25,3206.12,salary,income,monthly salary
2023-02-16,3489.18,investment,income,stock dividend
2023-08-18,231.49,shopping,expense,electronics
2023-10-17,47.95,entertainment,expense,concert
2023-04-15,146.49,bills,expense,water
2023-02-10,44.36,food,expense,cafe
2023-04-19,291.77,transport,expense,bus
2023-05-13,290.32,transport,expense,bus
2023-04-16,4228.77,other,income,miscellaneous
2023-08-19,1693.67,investment,income,stock dividend
2023-12-03,30.11,bills,expense,internet
2023-02-11,351.43,health,expense,gym
2023-11-17,3453.0,salary,income,monthly salary
2023-09-06,4538.29,gift,income,wedding gift
2024-04-20,302.74,other,expense,miscellaneous
2024-03-20,151.96,shopping,expense,clothes
2024-02-25,405.08,shopping,expense,online shopping
2024-02-16,217.3,other,expense,miscellaneous
2024-01-21,81.32,food,expense,groceries
2024-04-21,377.8,entertainment,expense,games
2024-03-08,4580.77,investment,income,crypto gain
2023-02-23,1462.18,investment,income,stock dividend
2023-02-07,380.05,shopping,expense,clothes
2023-04-04,4204.7,investment,income,stock dividend
2024-02-20,221.88,other,expense,miscellaneous
2023-09-27,149.78,entertainment,expense,games
2023-08-04,465.73,food,expense,groceries
2024-02-29,2976.36,salary,income,monthly salary
2024-04-06,2041.7,investment,income,crypto gain
2023-10-13,4120.76,other,income,miscellaneous
2024-05-18,4457.64,investment,income,stock dividend
2023-02-03,2727.29,salary,income,bonus
2023-10-12,377.49,food,expense,snacks
2023-05-11,306.43,shopping,expense,electronics
2023-04-01,245.43,transport,expense,train
2023-12-14,441.48,health,expense,doctor
2023-12-07,416.11,transport,expense,fuel
2023-11-20,272.4,shopping,expense,clothes
2024-01-09,4507.63,investment,income,crypto gain
2023-10-08,200.87,bills,expense,rent
2023-06-30,1450.55,salary,income,bonus
2024-03-23,376.17,other,expense,miscellaneous
2023-11-13,335.89,transport,expense,taxi
2023-06-29,254.79,health,expense,pharmacy
2023-11-24,208.5,food,expense,restaurant
2023-02-19,250.69,bills,expense,electricity
2024-04-30,354.03,health,expense,gym
2023-02-03,2454.66,salary,income,bonus
2024-05-29,4948.47,salary,income,monthly salary
2023-10-30,4163.42,investment,income,crypto gain
2023-04-28,197.26,transport,expense,fuel
2023-09-22,3483.17,gift,income,wedding gift
2023-09-24,311.05,entertainment,expense,movie
2023-02-06,348.19,transport,expense,fuel
2023-08-07,34.42,shopping,expense,clothes
2023-04-15,4336.71,gift,income,wedding gift
2023-06-04,93.89,entertainment,expense,concert
2023-10-08,476.67,bills,expense,electricity
2024-01-08,190.89,bills,expense,water
2023-07-01,434.42,health,expense,pharmacy
2023-06-11,404.69,other,expense,miscellaneous
2023-03-17,4638.56,investment,income,stock dividend
2023-05-28,1737.32,other,income,miscellaneous
2024-04-09,2276.17,investment,income,stock dividend
2023-08-01,2570.08,investment,income,crypto gain
2024-01-21,29.3,transport,expense,fuel
2024-03-04,1030.58,salary,income,monthly salary
2024-03-23,216.52,shopping,expense,electronics
2023-12-31,167.45,health,expense,gym
2023-07-02,4930.04,investment,income,crypto gain
2023-01-02,362.45,other,expense,miscellaneous
2023-12-23,193.59,transport,expense,bus
2023-05-24,1667.11,other,income,miscellaneous
2024-01-07,261.64,shopping,expense,clothes
2023-09-16,4520.64,investment,income,stock dividend
2024-04-25,489.07,transport,expense,fuel
2024-02-21,240.12,food,expense,restaurant
2023-08-26,384.29,food,expense,cafe
2024-03-29,228.43,entertainment,expense,concert
2024-01-29,4386.02,gift,income,birthday gift
2024-04-27,83.78,entertainment,expense,concert
2023-01-10,3285.13,salary,income,monthly salary
2023-09-21,242.57,shopping,expense,electronics
2023-01-25,4127.76,investment,income,stock dividend
2023-09-30,150.61,health,expense,gym
2023-02-27,3946.81,gift,income,wedding gift
2023-10-16,64.98,entertainment,expense,games
2024-02-12,272.69,health,expense,pharmacy
2023-12-03,236.1,bills,expense,rent
2023-11-10,22.43,food,expense,restaurant
2023-01-24,260.69,health,expense,pharmacy
2023-11-09,1926.54,gift,income,birthday gift
2023-09-26,310.03,bills,expense,electricity
2023-08-25,241.7,bills,expense,water
2023-05-11,463.13,entertainment,expense,subscription
2024-04-02,290.55,health,expense,pharmacy
2024-01-13,49.28,entertainment,expense,concert
2023-12-17,224.26,entertainment,expense,movie
2024-04-29,135.62,shopping,expense,online shopping
2024-05-20,1579.49,investment,income,crypto gain
2024-05-07,442.06,entertainment,expense,movie
2023-08-03,380.53,shopping,expense,electronics
2024-04-11,1541.19,salary,income,bonus
2023-11-12,248.94,bills,expense,water
2023-04-18,3040.17,other,income,miscellaneous
2024-03-12,143.42,entertainment,expense,games
2024-02-04,215.29,health,expense,pharmacy
2024-04-27,3293.19,investment,income,crypto gain
2023-03-24,377.98,entertainment,expense,subscription
2023-05-17,446.14,health,expense,doctor
2023-01-25,3284.38,salary,income,monthly salary
2023-10-08,104.57,transport,expense,bus
2023-03-05,2730.76,investment,income,crypto gain
2024-03-11,246.66,other,expense,miscellaneous
2023-03-28,30.34,entertainment,expense,concert
2023-04-22,275.67,entertainment,expense,concert
2023-10-31,395.8,food,expense,groceries
2023-03-09,348.27,shopping,expense,electronics
2023-03-08,3378.99,gift,income,wedding gift
2024-05-17,271.01,bills,expense,water
2024-05-07,187.31,shopping,expense,electronics
2024-02-10,230.82,transport,expense,taxi
2023-12-14,2958.53,other,income,miscellaneous
2023-06-25,208.8,food,expense,groceries
2023-05-11,262.44,health,expense,gym
2023-01-03,140.01,entertainment,expense,concert
2024-01-23,2940.77,gift,income,wedding gift
2023-01-11,128.53,bills,expense,electricity
2023-11-12,3153.87,other,income,miscellaneous
2024-03-28,367.41,shopping,expense,online shopping
2023-12-08,171.78,transport,expense,fuel
2023-09-06,331.78,food,expense,restaurant
2024-05-27,297.57,food,expense,cafe
2023-09-06,182.93,other,expense,miscellaneous
2023-04-16,15.78,food,expense,snacks
2023-07-23,18.44,transport,expense,taxi
2024-04-24,4834.08,investment,income,stock dividend
2023-04-04,209.26,shopping,expense,electronics
2023-03-08,4394.11,salary,income,bonus
2023-02-08,3985.16,other,income,miscellaneous
2023-09-07,343.34,shopping,expense,clothes
2023-06-18,306.71,shopping,expense,online shopping
2024-03-21,333.22,other,expense,miscellaneous
2023-02-28,279.56,shopping,expense,online shopping
2023-06-04,236.49,entertainment,expense,subscription
2023-04-07,233.6,food,expense,restaurant
2023-10-04,489.73,food,expense,restaurant
2023-06-17,480.45,health,expense,pharmacy
2024-05-12,2331.62,gift,income,wedding gift
2024-01-02,3428.9,investment,income,crypto gain
2024-02-01,1396.9,other,income,miscellaneous
2023-12-22,4111.87,gift,income,wedding gift
2024-01-07,2036.83,gift,income,wedding gift
2023-06-26,342.17,health,expense,gym
2023-04-04,367.42,bills,expense,electricity
2023-12-16,2876.14,gift,income,wedding gift
2024-05-31,4186.69,investment,income,stock dividend
2023-07-23,146.0,health,expense,doctor
2023-04-30,350.75,transport,expense,taxi
2024-01-16,136.12,health,expense,pharmacy
2023-05-30,484.34,shopping,expense,clothes
2024-03-31,415.87,health,expense,pharmacy
2023-02-24,237.91,entertainment,expense,subscription
2023-12-07,236.93,entertainment,expense,subscription
2024-02-20,42.63,food,expense,restaurant
2023-07-23,446.31,food,expense,cafe
2023-05-04,488.56,transport,expense,taxi
2023-06-10,492.51,shopping,expense,online shopping
2023-04-08,353.63,transport,expense,fuel
2023-12-08,105.27,health,expense,doctor
2023-03-27,1257.78,other,income,miscellaneous
2023-01-06,1855.87,investment,income,crypto gain
2023-01-21,230.94,shopping,expense,online shopping
2023-01-31,183.4,transport,expense,taxi
2024-03-21,148.66,health,expense,pharmacy
2024-03-19,181.94,transport,expense,bus
2023-10-05,2950.0,investment,income,crypto gain
2024-04-10,2344.45,investment,income,crypto gain
2024-01-11,157.7,shopping,expense,online shopping
2023-05-28,1647.67,gift,income,birthday gift
2023-02-15,1438.13,salary,income,bonus
2023-05-22,333.5,bills,expense,internet
2023-09-18,10.48,shopping,expense,electronics
2024-01-11,152.68,shopping,expense,electronics
2024-04-27,351.66,entertainment,expense,concert
2023-08-19,432.96,food,expense,restaurant
2024-05-28,149.98,bills,expense,electricity
2024-04-27,198.81,bills,expense,electricity
2023-11-18,1182.74,salary,income,monthly salary
2024-01-25,223.35,bills,expense,internet
2023-06-22,455.34,shopping,expense,online shopping
2023-05-14,3099.08,gift,income,birthday gift
2023-03-30,249.35,bills,expense,rent
2024-04-14,215.27,food,expense,snacks
2024-05-08,4588.5,investment,income,stock dividend
2023-02-03,4861.98,investment,income,stock dividend
2024-01-12,1703.81,salary,income,monthly salary
2023-11-07,163.39,health,expense,pharmacy
2023-11-26,161.08,health,expense,gym
2024-01-07,45.49,other,expense,miscellaneous
2023-10-28,476.59,bills,expense,internet
2023-05-29,4962.46,gift,income,wedding gift
2023-06-23,492.71,health,expense,gym
2023-08-09,456.18,transport,expense,bus
2023-03-31,2116.16,investment,income,crypto gain
2023-04-06,458.68,entertainment,expense,subscription
2023-10-28,2488.65,gift,income,birthday gift
2023-07-20,346.68,other,expense,miscellaneous
2023-09-12,4973.86,investment,income,stock dividend
2023-06-14,229.55,food,expense,snacks
2023-09-16,4997.39,salary,income,monthly salary
2024-04-28,65.96,bills,expense,rent
2023-09-26,189.4,entertainment,expense,movie
2024-02-09,324.9,shopping,expense,electronics
2023-03-29,197.45,transport,expense,fuel
2023-10-11,320.04,shopping,expense,electronics
2024-05-01,368.92,health,expense,doctor
2024-04-10,472.12,shopping,expense,clothes
2023-08-13,4344.5,salary,income,monthly salary
2023-09-17,4468.4,salary,income,monthly salary
2023-03-19,4672.22,salary,income,monthly salary
2023-05-22,1960.28,salary,income,monthly salary
2023-05-16,4492.82,investment,income,stock dividend
2023-10-28,92.66,food,expense,groceries
2023-06-12,245.42,entertainment,expense,concert
2024-01-02,373.94,bills,expense,rent
2024-05-11,3403.01,gift,income,birthday gift
2023-09-01,3512.32,investment,income,stock dividend
2023-12-04,4110.91,investment,income,stock dividend
2024-05-11,72.32,bills,expense,internet
2023-05-10,446.04,bills,expense,internet
2024-05-03,83.45,health,expense,pharmacy
2023-07-23,488.31,health,expense,gym
2023-08-14,196.66,entertainment,expense,movie
2024-03-13,454.48,bills,expense,internet
2023-01-08,4332.28,gift,income,birthday gift
2023-07-06,1284.24,salary,income,monthly salary
2024-02-26,430.26,entertainment,expense,movie
2023-04-12,4697.32,investment,income,stock dividend
2023-09-25,1703.0,investment,income,crypto gain
2023-08-25,2206.74,other,income,miscellaneous
2023-09-01,108.87,other,expense,miscellaneous
2023-09-08,284.31,shopping,expense,clothes
2023-12-14,224.54,food,expense,cafe
2024-01-13,2756.58,salary,income,monthly salary
2023-07-16,255.19,transport,expense,train
2024-02-15,407.28,transport,expense,taxi
2024-04-19,270.26,health,expense,doctor
2024-05-12,370.94,bills,expense,electricity
2024-02-19,323.18,shopping,expense,electronics
2023-02-07,464.71,shopping,expense,clothes
2023-06-10,248.51,food,expense,cafe
2024-05-03,462.27,food,expense,cafe
2023-05-02,45.01,entertainment,expense,movie
2024-05-13,3351.14,gift,income,wedding gift
2023-08-15,107.36,transport,expense,taxi
2023-08-25,34.65,shopping,expense,electronics
2023-08-24,4499.55,salary,income,monthly salary
2024-03-23,88.09,shopping,expense,clothes
2024-02-19,2878.85,other,income,miscellaneous
2023-03-30,2387.57,gift,income,birthday gift
2023-01-16,471.94,bills,expense,electricity
2023-02-05,2881.75,investment,income,crypto gain
2023-04-08,3360.66,investment,income,stock dividend
2023-05-04,204.29,shopping,expense,online shopping
2024-03-21,436.22,bills,expense,internet
2023-04-09,3986.17,gift,income,wedding gift
2023-06-16,152.42,other,expense,miscellaneous
2023-11-02,147.56,entertainment,expense,movie
2023-02-15,262.31,food,expense,restaurant
2023-04-14,69.22,shopping,expense,clothes
2023-11-19,2094.88,gift,income,birthday gift
2023-12-10,3561.55,salary,income,bonus
2024-05-27,3946.06,investment,income,crypto gain
2023-12-04,275.46,bills,expense,electricity
2023-02-15,4304.06,salary,income,monthly salary
2023-07-25,4514.33,gift,income,wedding gift
2023-09-08,460.95,entertainment,expense,concert
2023-11-03,1505.31,gift,income,birthday gift
2023-02-25,326.37,health,expense,doctor
2023-04-02,2878.37,salary,income,monthly salary
2023-01-13,66.29,bills,expense,electricity
2023-06-21,3257.77,salary,income,monthly salary
2023-07-29,1293.64,salary,income,monthly salary
2023-04-07,380.22,transport,expense,fuel
2023-08-25,187.84,food,expense,restaurant
2023-01-07,1857.92,other,income,miscellaneous
2023-07-17,4531.81,other,income,miscellaneous
2023-06-26,438.66,entertainment,expense,subscription
2023-03-30,139.0,transport,expense,taxi
2023-09-04,472.14,food,expense,snacks
2023-10-19,220.1,bills,expense,rent
2024-03-07,447.87,transport,expense,bus
2024-03-06,270.86,health,expense,pharmacy
2023-03-29,3214.96,investment,income,crypto gain
2023-04-17,409.52,entertainment,expense,concert
2024-05-13,448.82,shopping,expense,online shopping
2024-02-06,306.05,other,expense,miscellaneous
2024-05-09,2856.56,investment,income,crypto gain
2024-02-24,279.11,transport,expense,taxi
2023-10-09,3490.65,investment,income,stock dividend
2023-04-16,1668.45,gift,income,birthday gift
2023-07-18,442.4,entertainment,expense,movie
2024-01-16,25.72,food,expense,snacks
2023-01-19,2901.12,investment,income,crypto gain
2023-08-05,380.79,shopping,expense,electronics
2023-06-19,49.28,other,expense,miscellaneous
2023-09-20,305.67,transport,expense,fuel
2023-02-02,50.7,shopping,expense,electronics
2023-10-25,1154.25,investment,income,crypto gain
2023-08-21,30.63,shopping,expense,clothes
2024-03-17,46.43,entertainment,expense,movie
2023-01-05,3075.54,gift,income,wedding gift
2023-08-03,332.27,food,expense,restaurant
2023-03-18,2287.68,salary,income,bonus
2024-01-22,81.49,shopping,expense,clothes
2024-01-15,187.72,health,expense,pharmacy
2023-12-24,147.05,shopping,expense,clothes
2023-10-07,497.84,food,expense,groceries
2023-03-27,171.69,other,expense,miscellaneous
2023-12-10,4424.25,investment,income,stock dividend
2023-02-28,296.78,shopping,expense,clothes
2023-01-09,344.88,bills,expense,water
2023-09-01,10.27,health,expense,doctor
2023-02-09,4446.78,investment,income,stock dividend
2023-04-18,29.68,food,expense,groceries
2023-11-24,30.36,health,expense,pharmacy
2023-01-07,97.35,food,expense,groceries
2023-02-15,270.37,food,expense,groceries
2024-04-08,2658.51,investment,income,crypto gain
2023-04-01,4675.13,investment,income,stock dividend
2023-04-25,198.45,entertainment,expense,games
2023-03-30,96.5,bills,expense,electricity
2023-05-15,364.96,health,expense,doctor
2023-06-17,290.02,shopping,expense,electronics
2023-05-05,4937.36,salary,income,monthly salary
2023-12-16,364.15,entertainment,expense,subscription
2023-01-27,2476.85,investment,income,crypto gain
2023-03-18,3384.2,gift,income,birthday gift
2023-04-21,395.14,bills,expense,electricity
2024-02-18,498.0,shopping,expense,online shopping
2024-04-08,3542.81,gift,income,birthday gift
2023-09-13,276.12,bills,expense,internet
2024-05-29,186.52,bills,expense,rent
2024-05-22,301.26,entertainment,expense,games
2024-01-25,233.58,transport,expense,bus
2023-12-30,448.11,shopping,expense,clothes
2024-04-20,1805.62,other,income,miscellaneous
2024-01-20,3594.02,investment,income,stock dividend
2024-03-15,143.75,transport,expense,train
2024-02-01,261.61,bills,expense,internet
2024-04-14,1478.19,other,income,miscellaneous
2024-05-19,477.24,bills,expense,electricity
2023-05-09,88.89,bills,expense,internet
2023-12-27,282.67,bills,expense,rent
2023-01-26,197.84,shopping,expense,online shopping
2024-03-22,3776.58,gift,income,wedding gift
2023-01-01,257.84,health,expense,doctor
2023-09-12,277.74,bills,expense,rent
2023-12-12,4190.32,salary,income,bonus
2023-07-03,3311.02,investment,income,stock dividend
2023-07-06,2720.81,investment,income,stock dividend
2024-05-05,434.24,transport,expense,taxi
2023-09-04,133.33,shopping,expense,online shopping
2023-04-27,4931.63,gift,income,birthday gift
2024-01-06,56.72,food,expense,snacks
2023-07-03,261.52,shopping,expense,clothes
2023-01-09,3935.61,salary,income,monthly salary
2024-04-05,196.14,shopping,expense,electronics
2023-12-31,230.52,entertainment,expense,games
2024-05-11,412.78,health,expense,gym
2023-07-01,3557.48,gift,income,wedding gift
2024-01-25,332.39,health,expense,gym
2023-07-25,2511.44,other,income,miscellaneous
2023-02-21,199.79,shopping,expense,online shopping
2023-06-07,104.72,food,expense,groceries
2024-04-03,116.02,shopping,expense,electronics
2023-03-01,385.92,shopping,expense,electronics
2024-02-29,2388.79,gift,income,birthday gift
2024-05-30,389.33,food,expense,cafe
2024-05-06,2825.37,other,income,miscellaneous
2023-07-30,2181.16,salary,income,bonus
2023-03-04,386.25,health,expense,doctor
2023-03-23,313.75,other,expense,miscellaneous
2023-05-20,273.28,transport,expense,train
2024-05-08,194.92,other,expense,miscellaneous
2023-07-02,3600.98,gift,income,birthday gift
2023-08-03,488.38,other,expense,miscellaneous
2023-06-27,427.29,entertainment,expense,games
2023-01-03,288.52,food,expense,groceries
2023-01-09,173.66,health,expense,gym
2023-03-10,183.14,shopping,expense,electronics
2024-01-21,376.86,shopping,expense,online shopping
2023-06-23,321.43,shopping,expense,electronics
2023-11-14,79.91,shopping,expense,electronics
2024-01-27,211.03,bills,expense,water
2024-03-14,322.66,food,expense,snacks
2023-07-23,3397.88,gift,income,birthday gift
2024-02-22,86.04,shopping,expense,online shopping
2023-06-22,2408.62,investment,income,stock dividend
2023-05-11,488.04,entertainment,expense,movie
2023-09-12,148.92,health,expense,gym
2023-11-12,134.26,bills,expense,electricity
2023-11-02,145.6,health,expense,pharmacy
2023-10-04,2940.62,gift,income,wedding gift
2023-06-08,467.31,other,expense,miscellaneous
2024-02-26,57.93,entertainment,expense,subscription
2023-12-13,370.53,transport,expense,taxi
2023-01-16,318.8,food,expense,snacks
2023-01-12,3009.88,investment,income,stock dividend
2023-04-03,1233.38,gift,income,wedding gift
2023-03-12,90.1,transport,expense,bus
2024-04-02,1557.29,salary,income,monthly salary
2024-01-16,167.97,food,expense,restaurant
2023-12-20,2093.3,gift,income,wedding gift
2024-01-31,2666.48,other,income,miscellaneous
2024-04-25,77.16,transport,expense,fuel
2023-08-16,3432.3,investment,income,crypto gain
2023-03-27,2429.44,other,income,miscellaneous
2024-01-30,461.34,shopping,expense,online shopping
2023-10-03,59.94,bills,expense,electricity
2023-08-15,3614.06,investment,income,crypto gain
2023-10-21,3283.9,investment,income,stock dividend
2024-03-11,290.82,transport,expense,fuel
2023-12-01,328.01,transport,expense,fuel
2023-02-23,1483.55,investment,income,stock dividend
2023-12-11,419.38,bills,expense,electricity
2024-04-08,1637.32,salary,income,monthly salary
2023-08-16,161.03,transport,expense,taxi
2023-01-03,42.03,entertainment,expense,movie
2023-03-01,3001.55,other,income,miscellaneous
2024-01-04,492.42,other,expense,miscellaneous
2023-11-01,4680.14,investment,income,crypto gain
2023-12-14,171.77,bills,expense,rent
2024-02-25,450.0,health,expense,doctor
2023-04-06,286.56,health,expense,doctor
2023-05-18,110.8,food,expense,restaurant
2023-08-13,1406.91,other,income,miscellaneous
2023-02-06,346.61,food,expense,groceries
2023-10-16,4954.63,salary,income,bonus
2023-02-04,241.17,health,expense,pharmacy
2023-10-26,213.49,transport,expense,train
2024-04-02,3530.36,investment,income,crypto gain
2023-07-08,449.32,health,expense,doctor
2024-01-27,426.92,transport,expense,bus
2024-05-03,4133.74,salary,income,bonus
2024-03-27,115.24,food,expense,groceries
2023-04-01,4275.94,investment,income,crypto gain
2024-01-25,4731.32,gift,income,wedding gift
2023-01-29,342.34,transport,expense,taxi
